TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Cloudflare	cloudflae.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.16	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
Cloudflare	cloudflare5.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	104.21.88.252,172.67.155.49,2606:4700:3037::6815:58fc,2606:4700:3037::ac43:9b31	https	525	cloudflare5.com	0.44	0.01	Unknown	cloudflare	
Cloudflare	cloudflere.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.16	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
Cloudflare	cloudflore.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.53	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
Cloudflare	cloudflrae.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	104.21.64.181,172.67.154.75,2606:4700:3034::ac43:9a4b,2606:4700:3037::6815:40b5	https	200	sinparty.com	0.20	0.01	Unknown	cloudflare	redirects to sinparty.com
Cloudflare	cloudlare.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c606:78d4:4260:db4e:aeee,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb	https	200	www.hugedomains.com	0.16	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
Cloudflare	xn--cloudflre-ccb.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	172.67.153.67,104.21.3.93,2606:4700:3036::ac43:9943,2606:4700:3033::6815:35d	https	521	xn--cloudflre-ccb.com	0.34	0.01	Unknown	cloudflare	
Cloudflare	xn--coudflare-0sb.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	104.21.11.186,172.67.150.6,2606:4700:3030::ac43:9606,2606:4700:3032::6815:bba	https	530	xn--coudflare-0sb.com	0.36	0.01	Unknown	cloudflare	
Coinbase	coinbose.com	LOW_MATCH	2	coinbase.com	www.coinbase.com	52.20.84.62	https	200	domains.atom.com	0.20	0.01	Unknown	cloudflare	redirects to domains.atom.com
Docker	docker1.com	LOW_MATCH	2	docker.com	www.docker.com	38.147.179.57	https	200	www.docker1.com	0.06	0.01	Unknown	nginx	redirects to www.docker1.com
DocuSign	docsign.com	LOW_MATCH	2	docusign.com	www.docusign.com	18.208.88.157,98.84.224.111	https	200	docsign.com	0.41	0.01	Unknown	Netlify	
Dropbox	dlropbox.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	172.67.166.155,104.21.41.187,2606:4700:3036::ac43:a69b,2606:4700:3035::6815:29bb	https	523	dlropbox.com	0.36	0.01	Unknown	cloudflare	
Dropbox	dropb0x.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	172.67.194.54,104.21.74.2,2606:4700:3030::ac43:c236,2606:4700:3035::6815:4a02	https	200	brandjacking.com	0.26	0.01	Unknown	cloudflare	redirects to brandjacking.com
GitLab	eitlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	5.161.230.87,46.62.237.138,76.223.91.20,195.201.128.179,5.161.47.86,5.78.156.59,2a01:4ff:f0:a884::1,2a01:4ff:f0:5f41::1,2a01:4ff:1f0:dd50::1,2a01:4f8:1c1e:d6f1::1,2a01:4f9:c013:29f7::1,2a05:d018:1d22:800:5202:a432:66d1:ecdf,2600:1f1c:6db:8800:6928:e018:1ffe:5dcf,2406:da1e:214:c901:e75:919b:622c:16e4	https	200	expireddomains.com	0.23	0.01	Unknown	cloudflare	redirects to expireddomains.com
